Time,EEG
6.87,2486.200279211171
6.88,2551.471906071413
6.89,2601.2446999277345
6.9,2629.6259729496446
6.91,2630.772916433571
6.92,2631.9363079275245
6.93,2653.929617216811
6.94,2697.3170942450356
6.95,2735.6069764363983
6.96,2725.7474110284606
6.97,2651.2688617174936
6.98,2532.789280542945
6.99,2403.504148098739
7.0,2274.182262275804
7.01,2120.8277085589752
7.02,1925.042045910615
7.03,1671.3349107408103
7.04,1355.2639655039081
7.05,990.7437084233657
7.06,597.1838858805048
7.07,202.2593769636944
7.08,-150.75474604253367
7.09,-408.3087662453204
7.1,-545.0033532555976
7.11,-613.5781981487132
7.12,-679.1279037579712
7.13,-751.507598381448
7.14,-836.485461123395
7.15,-944.5515751352235
7.16,-1077.8636101395957
7.17,-1265.6348831139082
7.18,-1547.9247716406942
7.19,-1907.8673024464365
7.2,-2260.3316956864646
7.21,-2533.6118534850307
7.22,-2723.655014153943
7.23,-2845.9572918999543
7.24,-2931.560049173529
7.25,-2985.4111209163034
7.26,-2973.627871930577
7.27,-2875.5320367177706
7.28,-2689.6217277113583
7.29,-2444.1883694368453
7.3,-2201.5768834872897
7.31,-2007.6769838494781
7.32,-1879.4747529833635
7.33,-1825.9081895166387
7.34,-1873.2021963874074
7.35,-2006.3484930751242
7.36,-2176.131789243489
7.37,-2350.4052835142206
7.38,-2497.5881796838917
7.39,-2567.937103648133
7.4,-2545.496715369466
7.41,-2440.149827836532
7.42,-2250.8661817732914
7.43,-1987.8084703553964
7.44,-1695.7238190733676
7.45,-1412.919744374937
7.46,-1145.6070791293803
7.47,-894.715461786109
7.48,-670.0542875484957
7.49,-465.7329701567095
7.5,-263.7366215349707
7.51,-40.34463130602488
7.52,229.8107768706776
7.53,558.9415432654027
7.54,930.6859387679784
7.55,1296.3319767180624
7.56,1613.233927318714
7.57,1868.3769117861348
7.58,2075.0585615968
7.59,2249.509411038578
7.6,2405.6297379349808
7.61,2560.215086460581
7.62,2733.4313731099983
7.63,2945.493092748002
7.64,3221.557562784782
7.65,3565.3942706472403
7.66,3949.570219138886
7.67,4317.207056827115
7.68,4635.470022506879
7.69,4884.904601521522
7.7,5036.867041270074
7.71,5071.307523890931
7.72,5006.282994601526
7.73,4869.827979575581
7.74,4671.955823137511
7.75,4422.797805811712
7.76,4151.021901105482
7.77,3868.98156225552
7.78,3601.4469204585976
7.79,3366.65403675746
7.8,3172.3550783430705
7.81,3030.77513450154
7.82,2981.4994894311344
7.83,3071.1361531361126
7.84,3294.502995772852
7.85,3554.442696354168
7.86,3692.0372736970453
7.87,3564.232086160861
7.88,3124.134319567391
7.89,2404.4813517139523
7.9,1491.4995732177879
7.91,490.1358445546673
7.92,-539.6134641213235
7.93,-1550.5658894298408
7.94,-2436.5714013168113
7.95,-3063.349853147579
7.96,-3371.7125797155245
7.97,-3413.063066316406
7.98,-3294.3930749197953
7.99,-3144.8374972178817
8.0,-3072.332978542998
8.01,-3104.910984081575
8.02,-3220.3245391994533
8.03,-3393.1062034792844
8.04,-3590.5206562129915
8.05,-3725.9582576649364
8.06,-3702.0181667948714
8.07,-3523.742810156409
8.08,-3278.810329312699
8.09,-3020.198646798899
8.1,-2785.439482249589
8.11,-2608.79912276118
8.12,-2480.1170371098424
8.13,-2364.1078723409723
8.14,-2315.413806675921
8.15,-2416.0741960311325
8.16,-2629.043495809693
8.17,-2863.6247673787207
8.18,-3102.4160986049264
8.19,-3322.133674349571
8.2,-3492.1169121622
8.21,-3632.347120951772
8.22,-3766.546289827595
8.23,-3837.0423760239005
8.24,-3782.539079871851
8.25,-3631.819454692454
8.26,-3439.9456541289
8.27,-3227.5655061867915
8.28,-3027.6337152259657
8.29,-2850.907215162066
8.3,-2693.283856249235
8.31,-2574.49084742203
8.32,-2542.8749775893043
8.33,-2630.712127054735
8.34,-2821.3432521308814
8.35,-3052.8899267968395
8.36,-3265.4154483566836
8.37,-3426.677901248113
8.38,-3550.9060794812744
8.39,-3658.2192927666442
8.4,-3739.8459874814616
8.41,-3709.4245552761136
8.42,-3431.0875872629085
8.43,-2858.057030354079
8.44,-2057.882095427786
8.45,-1134.0863056047851
8.46,-180.67405226325423
8.47,735.2889626916407
8.48,1608.6767915227128
8.49,2455.438122019418
8.5,3196.340958657307
8.51,3712.260892352931
8.52,3970.705368568616
8.53,3995.443726554174
8.54,3816.4406465970706
8.55,3509.109490509971
8.56,3166.9016913538976
8.57,2814.256822426032
8.58,2433.4122659372783
8.59,2055.6947902746238
8.6,1745.556582867078
8.61,1522.559270743405
8.62,1401.2057687276122
8.63,1414.2398427734795
8.64,1553.9984152141215
8.65,1752.3649153433737
8.66,1951.4466242560272
8.67,2121.9844005359355
8.68,2215.0111187149873
8.69,2179.106341022413
8.7,2038.4492177648747
8.71,1827.7967309588275
8.72,1541.8779036801486
8.73,1202.222399504628
8.74,870.8060588838482
8.75,579.340666512845
8.76,317.66202663103905
8.77,92.72240785338263
8.78,-103.59380130703154
8.79,-341.436058489346
8.8,-656.5888333769208
8.81,-1004.260049308524
8.82,-1337.9235534550714
8.83,-1628.1689603471918
8.84,-1847.1605573867444
8.85,-1998.3160091018826
8.86,-2127.359279393503
8.87,-2241.704737135836
8.88,-2298.473366957444
8.89,-2314.4290463832426
8.9,-2365.2517938489395
8.91,-2481.5961950083156
8.92,-2651.7968303097423
8.93,-2843.892803173769
8.94,-2996.5255734697516
